17:12:03 %Cpu(s): 55.8 us, 10.7 sy,  0.0 ni, 31.9 id,  0.1 wa,  0.0 hi,  1.6 si,  0.0 st
17:12:03 KiB Mem : 32721572 total,   302372 free, 12132584 used, 20286616 buff/cache
17:12:03  3935 udi       20   0  832724 282188  17080 S  82.4  0.9 382:18.56 lidar_preproces
17:12:03 21713 udi       20   0 2528740 189176  93492 R  82.4  0.6  26:13.72 rviz
17:12:03 23628 udi       20   0 9169780 947524 721724 S  64.7  2.9 301:31.70 uobs
17:12:03  3823 udi       20   0  690352  80412  49360 S  47.1  0.2 117:53.01 distance_indica
17:12:03  1633 udi       20   0 1677372  48416  19416 S  29.4  0.1 105:02.19 event_data_reco
17:12:03  3537 udi       20   0  685504  71340  10772 S  23.5  0.2  97:44.76 hesai_lidar_nod
17:12:03  3864 udi       20   0 5473688 3.086g  62924 S  23.5  9.9 222:46.02 localization
17:12:03  3549 udi       20   0  685504  69048  10716 S  17.6  0.2  78:05.39 hesai_lidar_nod
17:12:03  3571 udi       20   0  685504  69016  10536 S  17.6  0.2  81:03.77 hesai_lidar_nod
17:12:03  3557 udi       20   0  685504  71316  10708 S  11.8  0.2  87:24.36 hesai_lidar_nod
17:12:03  3560 udi       20   0  685504  68720  10792 S  11.8  0.2  77:19.18 hesai_lidar_nod
17:12:03  3871 udi       20   0  357856  21600  11260 S  11.8  0.1  75:40.77 intergration
17:12:03  1643 udi       20   0  816588  19832  12524 S   5.9  0.1  47:56.73 can_port
17:12:03  3493 udi       20   0  417304  11416  10392 S   5.9  0.0  12:58.28 encoder_to_odom
17:12:03  3648 udi       20   0  491956  12588  11112 S   5.9  0.0  22:33.83 ekf_localizatio
17:12:03  3818 udi       20   0 1156048 150884  59608 S   5.9  0.5  41:28.89 localization_sw
17:12:03  3870 udi       20   0  349336  10756   9784 S   5.9  0.0   2:32.66 gps_init
17:12:03  3877 udi       20   0  412080  12172  10976 S   5.9  0.0   3:34.34 current_odom_sa
17:12:03  3880 udi       20   0  364696  40212  10624 S   5.9  0.1  50:12.77 lidar_filter
17:12:03  3977 udi       20   0  358944  13328  11732 S   5.9  0.0  14:38.36 lower_control
17:12:03  3978 udi       20   0  410628  11688  10524 S   5.9  0.0  30:49.62 sys_data_hub
17:12:03  4132 udi       20   0  380392  27736  14404 S   5.9  0.1   5:24.10 opendrive_globa
17:12:03  1573 root      20   0   80620    812    732 S   0.0  0.0   0:00.15 quectel-CM
17:12:03  1574 udi       20   0  380416  63016  11468 S   0.0  0.2   0:26.52 roscore
17:12:03  1728 root      20   0  924436  38172  25112 S   0.0  0.1   4:35.94 vehicle_client
17:12:03  3458 udi       20   0 1144576  70540  13488 S   0.0  0.2   6:44.93 gps_handler.py
17:12:03  3467 udi       20   0  728384  60896  11480 S   0.0  0.2   0:00.44 gps_ntrip_clien
17:12:03  3499 udi       20   0  401892  10492   9552 S   0.0  0.0   1:41.62 gps_odom_node
17:12:03  3742 udi       20   0  376116  51584   2460 S   0.0  0.2   0:01.53 gps_ntrip_clien
17:12:03  3862 udi       20   0  959060 204536  60068 S   0.0  0.6   7:07.21 init_location
17:12:03  3863 udi       20   0  337804  11464  10476 S   0.0  0.0   0:18.49 proto_reader
17:12:03  3887 udi       20   0  336544  11212  10040 S   0.0  0.0  14:53.35 convert
17:12:03  4116 udi       20   0  429924  33324  15936 S   0.0  0.1   9:06.07 opendrive_behav
17:12:03 18430 udi       20   0  426676  11200  10084 S   0.0  0.0   0:00.89 cmcc_sdk_node
17:12:03 29530 udi       20   0 1252232 156976  73436 S   0.0  0.5   5:22.83 gui_tools_set_n
17:12:03 CPU MHz:             2900.000
17:12:04 %Cpu(s): 55.8 us, 10.7 sy,  0.0 ni, 31.9 id,  0.1 wa,  0.0 hi,  1.6 si,  0.0 st
17:12:04 KiB Mem : 32721572 total,   285812 free, 12149136 used, 20286624 buff/cache
17:12:04  3935 udi       20   0  832724 282196  17080 S 111.1  0.9 382:19.21 lidar_preproces
17:12:04 23628 udi       20   0 9169780 947524 721724 S  77.8  2.9 301:32.18 uobs
17:12:04 21713 udi       20   0 2528740 189176  93492 R  72.2  0.6  26:14.19 rviz
17:12:04  3823 udi       20   0  701044  90836  49360 R  44.4  0.3 117:53.27 distance_indica
17:12:04  1633 udi       20   0 1677372  48416  19416 S  22.2  0.1 105:02.35 event_data_reco
17:12:04  3537 udi       20   0  685504  71340  10772 S  22.2  0.2  97:44.92 hesai_lidar_nod
17:12:04  3864 udi       20   0 5473688 3.086g  62924 S  22.2  9.9 222:46.17 localization
17:12:04  3871 udi       20   0  357856  21600  11260 S  22.2  0.1  75:40.91 intergration
17:12:04  3549 udi       20   0  685504  69048  10716 S  16.7  0.2  78:05.52 hesai_lidar_nod
17:12:04  3557 udi       20   0  685504  71316  10708 S  16.7  0.2  87:24.50 hesai_lidar_nod
17:12:04  3571 udi       20   0  685504  69016  10536 S  16.7  0.2  81:03.91 hesai_lidar_nod
17:12:04  1643 udi       20   0  816588  19832  12524 S  11.1  0.1  47:56.81 can_port
